name,country,latitude,longitude,phone
Shivakrupa_Hospital,India,15.7739795,74.6432376,0
Gopal_Jinagouda_Bharatesh_Hospital.Bits,India,15.8193373,74.5624391,0
Rainbow_Hospital,India,15.835354,74.503952,0
Dr.T.S.Tejaswi,India,15.8376978,74.5009168,0
Jina_Gouda_Hospital,India,15.839043,74.5265108,0
Shri_Daneshwari_Surgical_and_General_Hospital,India,15.8419855,74.518946,0
Shri_Siddhi_Vinayak_Hospital_Critical_Care_Centre,India,15.8445593,74.5197343,0
Shri_Kamakshi_Clinic,India,15.8468981,74.509707,0
Bagawadi_Eye_and_Dental_Care,India,15.8496953,74.4976741,0
Dr_Manchekar_Hospital,India,15.8514136,73.6389038,0
Shahid_Polyclinc,India,15.8576121,74.5294834,0
Bims_Hospital,India,15.867293,74.5115695,0
Belgaum_Cancer_Hospital_Pvt_Ltd,India,15.8721444,74.5255992,0
Sharada_Maternity_and_Nursing_Home,India,15.873002,74.529237,0
K.L.E.S_Hospital_and_Medical_Research_Centre,India,15.8833193,74.5199618,0
Shree_Mhatre_Hospital,India,15.888506,73.8266659,0
K.M.D.C_Hospital,India,15.9472889,74.1885825,0
Kambi_Nursing_Home,India,15.9500493,75.297485,0
Prime_Speciality_Hospital,India,15.9647156,74.0035709,0
Rajan_Hospital,India,15.9999562,73.6830521,0
Dr._Akerkar_Hospital,India,16.0049648,73.6890972,0
Zantye_Hospital_and_Maternity_Home,India,16.0591493,73.4754729,0
Dr._Mhaskar_Hospital_and_Intesive_Cardiac_Care_Unit,India,16.1058546,73.6731742,0
Masai_Medical_Foundation_Shri_Swami_Samarath_Hosp,India,16.1113174,74.2084372,0
Pattan_Shetti,India,16.122964,74.2081881,0
Mother_and_Child_Carwe_Clinic,India,16.1579793,74.8105323,0
Dr_Umarani_Ganga_Surgical_and_Fracture_Clinic,India,16.1591849,74.8156199,0
Chiranjivi_Nursing_Home,India,16.1648076,74.8205459,0
Jayaratna_Maternity_and_Laparoscopic_Surgical_Hospital,India,16.1660016,74.8209661,0
Shanta_Clinic,India,16.1676514,74.8266619,0
Kles_Hospital_And_Mrc,India,16.1689319,74.8397048,0
Vishwajyoti_Nursing_Home_and_Laproscopic_Surgical_Centre,India,16.1692435,74.83038,0
Hattarki_Hospital_and_Trauma_Center,India,16.2008538,74.35983,0
Tara_Children_Hospital_-_Gadhinglaj,India,16.2224134,74.3503162,0
Hattarki_Hospital,India,16.226445,74.3499691,0
Omkar_Medical_Charitable_Trust_Magdum_Hospital,India,16.2274405,74.3403208,0
Kattimani_Hospital_and_Nursing_Home,India,16.2328467,74.7791465,0
The_Karnataka_Health_Institute,India,16.2394587,74.7585775,0
Annapurna_Hospital,India,16.2560909,74.4830326,0
Isaac_Eye_Foundation,India,16.2564111,74.4719326,0
Aabu_Tayshete_Memorial_Hospital,India,16.2633918,73.7112551,0
Dr_Navare_Hospital,India,16.2697818,73.7078336,0
Drishit_Eye_Hospital,India,16.2753319,73.706594,0
Gargoti_Maternity_Home,India,16.3174346,74.1386767,0
Chetana_Hospital,India,16.3331873,75.2851599,0
Hosur_Hospital,India,16.3333105,75.2858208,0
Sarita_Hospital,India,16.3754203,73.3885526,0
Dr_Ar_Belagalis_Hospital,India,16.3896542,75.1107527,0
Kamal_Hospital,India,16.4256293,74.5819603,0
Bhavani_Maternity_And_Surgical_Icu,India,16.4271981,74.580689,0
Sanmeet_Hospital,India,16.4291905,74.5878546,0
Padma_Ayurvedic_Hospital_and_Research_Centre,India,16.494439,75.0523534,0
Annapurna_Clinic,India,16.4948397,74.7754222,0
Shri_Clinic_And_Meternity_Home,India,16.5043199,75.2917512,0
Gurukrupa_Nursing_Home,India,16.5066077,75.2923992,0
Kadlewad_Hospital,India,16.5089868,75.2836109,0
Ashirwad_Nursing_Home,India,16.5177012,74.9497472,0
Karmarkar_Hospital,India,16.5494405,73.6009811,0
Community_Health_Centre_Sadalga,India,16.5533172,74.5316807,0
Ganga_Hospital,India,16.5884342,74.3099863,0
Siddhagiri_Hospital,India,16.6110498,74.2643741,0
Sumitra_Hospital,India,16.6722408,74.5928201,0
Shree_Dhanwantari_Clinic,India,16.6748975,74.8916458,0
Sai_Kala_Clinic,India,16.6753913,74.2074648,0
Tamhankar_Hospital_and_Ultrasonography_Clinic_-_Kolh,India,16.6757342,74.2201167,0
Yamuna_SurgicalsIchalkaranji,India,16.682836,74.4444595,0
Chirayu_Hospital,India,16.6851944,74.24361,0
Omkar_Hospital,India,16.6866793,74.2067778,0
Deshpande_Orthopaedic_Hospital_-_Kolhapur,India,16.6899295,74.2224289,0
Shraddha_Surgical_Hospital,India,16.6900416,74.4563935,0
Nirmal_Nursing_Home,India,16.6904996,74.2221575,0
Kotkar_Hospital,India,16.6926103,74.2261864,0
Shraddha_Clinic_and_Hospital,India,16.6935559,74.2471072,0
Pragati_Netra_Rugnalaya,India,16.6938093,74.2451615,0
City_Hospital,India,16.6943622,74.2450361,0
Dhanwantri_Fracture_Orthopaedic_And_Arthroscopy_Centre,India,16.6948193,74.2444699,0
Om_Clinic,India,16.6954279,74.2217583,0
Children_Surgical_Hospital,India,16.695489,74.2447801,0
Drishti_Eye_Hospital,India,16.6956754,76.8431564,0
Shri_Siddhivinayak_Heart_Hospital,India,16.6958909,74.2422116,0
Dr.Chandrashekar_Shaligram_Eye_and_Contact_Lens_Clin,India,16.6961937,74.2427534,0
Shri_Sai_Cardiac_Center_Unit_Of_Mahalaxmi_Hrudayalaya_-_Kolhapur,India,16.6965014,74.2441815,0
Pishawikar_Hospital,India,16.6977453,74.219703,0
Drishtideep_Netraseva_Phaco_and_Eye_Care_Centre_-_Kolhapur,India,16.6977493,74.2234298,0
Saraswati_Hospital_and_Advanced_Medical_Care_Center_-_Kolhapur,India,16.6983718,74.2289376,0
Guru_Prasad_Hospital,India,16.699001,74.2171949,0
Vardhan_Children_Hospital,India,16.6999552,74.2447104,0
Chougule_Hospital,India,16.699983,74.2365526,0
Shri_Mahalaxmi_Hospital,India,16.700565,74.227722,0
